open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1580428800000,9511.52000000,9530.22000000,9472.86000000,9473.87000000,1168.79320500,1580432399999,11107428.72721549,14220,575.02304000,5464910.97487095,0
1580432400000,9473.67000000,9499.71000000,9440.12000000,9478.47000000,1239.48974600,1580435999999,11743336.20032011,14549,593.78731400,5626877.67041664,0
1580436000000,9478.48000000,9479.06000000,9390.07000000,9444.35000000,2150.65642800,1580439599999,20284951.50827886,18062,975.03249000,9201869.21078809,0
1580439600000,9444.34000000,9474.94000000,9431.29000000,9444.00000000,1218.21182900,1580443199999,11521209.62605470,14473,537.89284100,5087203.17547990,0
1580443200000,9444.69000000,9448.68000000,9400.00000000,9416.12000000,1783.37348100,1580446799999,16801406.44651481,16654,836.49027400,7881840.72835817,0
1580446800000,9416.51000000,9432.14000000,9330.00000000,9345.53000000,2263.55928800,1580450399999,21229754.71955318,19871,929.18262100,8717198.07883987,0
1580450400000,9345.53000000,9393.17000000,9320.00000000,9379.32000000,2488.72318600,1580453999999,23297084.65002368,20877,1164.77974900,10905097.78999728,0
1580454000000,9379.00000000,9382.39000000,9329.34000000,9374.56000000,1540.45824500,1580457599999,14402580.45469341,15002,895.98325200,8377421.11618453,0
1580457600000,9375.50000000,9409.51000000,9338.00000000,9378.30000000,1716.90894400,1580461199999,16087790.41750976,17985,884.77811500,8290334.11815592,0
1580461200000,9378.30000000,9414.94000000,9357.04000000,9359.61000000,1970.24062000,1580464799999,18500169.96659164,16625,964.48996100,9058313.50257948,0
1580464800000,9361.61000000,9384.91000000,9270.40000000,9344.57000000,3302.17632900,1580468399999,30824314.79893936,27135,1490.05929600,13916988.14861927,0
1580468400000,9343.83000000,9347.75000000,9304.00000000,9328.41000000,2625.39679500,1580471999999,24498816.19652548,18512,1318.18264100,12301309.15602486,0
1580472000000,9328.39000000,9332.23000000,9247.10000000,9282.33000000,4009.90291700,1580475599999,37246082.19162753,32833,1818.18315900,16894977.24389453,0
1580475600000,9283.19000000,9295.60000000,9210.01000000,9271.85000000,3282.66447900,1580479199999,30389633.90340816,26343,1638.80837300,15174817.64406959,0
1580479200000,9271.50000000,9300.00000000,9237.90000000,9263.18000000,1991.66511200,1580482799999,18457215.93211187,18565,943.94994400,8748422.59505850,0
1580482800000,9264.04000000,9345.82000000,9261.66000000,9339.19000000,1908.83546200,1580486399999,17756683.83181981,19750,1023.01427000,9517825.58963472,0
