open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1580428800000,68.00000000,68.70000000,67.61000000,67.69000000,28002.73843000,1580432399999,1905405.57710930,3695,13061.28323000,888515.81956090,0
1580432400000,67.70000000,68.28000000,67.28000000,68.14000000,31904.05722000,1580435999999,2164126.18634160,3687,16053.02654000,1089072.26933170,0
1580436000000,68.14000000,68.14000000,67.37000000,67.69000000,19173.81112000,1580439599999,1299435.31526850,2790,8649.12743000,586224.43499030,0
1580439600000,67.67000000,69.07000000,67.62000000,68.65000000,32823.62565000,1580443199999,2248391.92486380,4458,16071.73049000,1101020.63198380,0
1580443200000,68.64000000,68.64000000,67.45000000,67.83000000,29012.06786000,1580446799999,1974163.95523340,3778,12617.18654000,858843.90848730,0
1580446800000,67.84000000,68.27000000,66.30000000,66.76000000,42032.49556000,1580450399999,2822473.58047250,5305,19319.49318000,1298441.95064000,0
1580450400000,66.79000000,67.56000000,66.53000000,67.45000000,30429.47936000,1580453999999,2044909.07988510,3544,14634.46058000,983451.06057070,0
1580454000000,67.45000000,67.46000000,66.38000000,67.16000000,33253.83849000,1580457599999,2221599.83166900,4585,16682.12410000,1114676.36954820,0
1580457600000,67.16000000,68.27000000,66.80000000,68.10000000,36127.72295000,1580461199999,2445755.17027610,5044,18189.64670000,1231063.68182460,0
1580461200000,68.11000000,70.10000000,68.09000000,68.65000000,89965.88479000,1580464799999,6219959.52258130,10889,47418.93405000,3279124.93363210,0
1580464800000,68.68000000,69.30000000,67.73000000,68.30000000,63749.63030000,1580468399999,4369348.00869510,7666,29165.24402000,1999692.40965290,0
1580468400000,68.29000000,68.31000000,67.35000000,68.10000000,46724.75241000,1580471999999,3169566.39696660,6490,23740.13244000,1610625.94680590,0
1580472000000,68.08000000,68.18000000,66.02000000,66.98000000,90326.33442000,1580475599999,6043401.30084230,10486,44188.34684000,2955870.13672900,0
1580475600000,66.96000000,67.63000000,65.37000000,67.06000000,91124.63779000,1580479199999,6072312.42049910,10133,44043.04521000,2936442.87969120,0
1580479200000,67.05000000,67.96000000,66.56000000,66.90000000,40594.46365000,1580482799999,2730006.72676430,5076,20487.69385000,1377448.76694920,0
1580482800000,66.91000000,68.15000000,66.83000000,68.10000000,36808.53696000,1580486399999,2486508.04889010,4112,20375.18584000,1376969.81357460,0
1580486400000,68.10000000,68.80000000,66.80000000,67.50000000,63766.07494000,1580489999999,4336639.17495110,8677,33227.63510000,2261251.70079870,0
1580490000000,67.50000000,67.65000000,66.75000000,66.95000000,25932.46231000,1580493599999,1740750.89466820,3766,11559.30792000,775947.91050600,0
1580493600000,66.95000000,67.85000000,66.85000000,67.57000000,18067.93504000,1580497199999,1218879.69502140,2527,8840.28940000,596270.02212180,0
1580497200000,67.56000000,67.59000000,66.91000000,66.95000000,13448.39267000,1580500799999,904239.18644850,1907,4880.50170000,328297.46002650,0
1580500800000,66.94000000,68.20000000,66.94000000,67.64000000,22891.08482000,1580504399999,1547585.97947510,3273,12363.35711000,836035.96146520,0
1580504400000,67.65000000,68.16000000,67.60000000,68.02000000,15397.32859000,1580507999999,1045270.09350180,2601,7984.17464000,542095.99323150,0
1580508000000,68.06000000,68.80000000,67.81000000,68.47000000,19091.77301000,1580511599999,1304837.31580410,3145,9532.81829000,651591.25078500,0
1580511600000,68.44000000,68.54000000,67.50000000,68.00000000,17607.65512000,1580515199999,1198126.07165410,2991,6609.13055000,450168.42234140,0
1580515200000,68.02000000,68.56000000,67.62000000,68.46000000,22743.11495000,1580518799999,1550199.78147390,3148,12115.60328000,825719.57948430,0
1580518800000,68.44000000,72.12000000,68.40000000,72.01000000,125637.17337000,1580522399999,8825882.83066950,14239,68899.56055000,4838011.79567530,0
1580522400000,72.05000000,72.43000000,71.07000000,71.70000000,83288.88680000,1580525999999,5970757.30147510,10403,42176.59536000,3024205.61494140,0
1580526000000,71.71000000,72.80000000,71.17000000,72.74000000,55582.64508000,1580529599999,3988360.51261860,5571,33790.30562000,2425793.79495020,0
1580529600000,72.79000000,73.00000000,71.36000000,71.44000000,51085.31390000,1580533199999,3680525.09531970,6191,24575.35368000,1772021.76084310,0
1580533200000,71.41000000,71.89000000,71.02000000,71.19000000,29818.17068000,1580536799999,2132604.70565160,4051,10119.97517000,724194.75832210,0
1580536800000,71.19000000,72.10000000,71.18000000,71.78000000,29063.18461000,1580540399999,2082612.32463160,3441,13417.85298000,961124.43497730,0
1580540400000,71.78000000,72.67000000,71.76000000,72.11000000,37770.39408000,1580543999999,2727848.59950750,5741,19244.27775000,1390171.39057590,0
1580544000000,72.14000000,72.25000000,70.82000000,71.21000000,40458.68248000,1580547599999,2894210.86946790,6158,19597.79060000,1403033.56730700,0
1580547600000,71.24000000,71.41000000,70.62000000,71.16000000,31043.35107000,1580551199999,2205075.79769570,3918,14879.64964000,1057164.28377250,0
1580551200000,71.17000000,71.65000000,70.52000000,71.07000000,29417.17392000,1580554799999,2091355.30388800,3994,13259.56121000,943238.93730960,0
1580554800000,71.07000000,71.25000000,69.00000000,69.70000000,69968.32293000,1580558399999,4890186.44691680,9719,32725.26081000,2286546.97062770,0
1580558400000,69.73000000,70.33000000,69.39000000,69.58000000,37101.62345000,1580561999999,2591916.65072750,5231,15993.20978000,1117323.55190550,0
1580562000000,69.57000000,71.09000000,69.53000000,70.51000000,35044.72706000,1580565599999,2474043.23365620,5186,18548.27070000,1309184.23401840,0
1580565600000,70.49000000,70.62000000,69.83000000,70.11000000,34154.16648000,1580569199999,2396293.36449880,5067,15657.16340000,1098723.40763090,0
1580569200000,70.09000000,70.50000000,69.32000000,69.50000000,31486.29810000,1580572799999,2199885.20947250,4517,13387.40891000,935440.25045920,0
1580572800000,69.50000000,71.35000000,69.44000000,71.08000000,46832.68864000,1580576399999,3308256.21874440,6849,26357.14618000,1862332.02530060,0
