open-time,open,high,low,close,volume,trades
1580428800,0.9985,0.999,0.9979,0.9985,113169.56532568,204
1580432400,0.9985,0.999,0.9981,0.9986,81686.96136964,99
1580436000,0.9984,0.999,0.9981,0.9982,41608.34587068,91
1580439600,0.9982,0.9986,0.9979,0.9979,19933.96919622,79
1580443200,0.9979,0.9982,0.9973,0.9976,59642.87831884,134
1580446800,0.9978,0.9983,0.9976,0.9977,25735.84348699,109
1580450400,0.9978,0.9981,0.9973,0.998,53553.37152138,143
1580454000,0.9979,0.998,0.9972,0.9972,70621.31709293,67
1580457600,0.9973,0.9979,0.9971,0.9979,52637.85140924,116
1580461200,0.9979,0.9979,0.9972,0.9972,51463.28020911,62
1580464800,0.9971,0.9996,0.9971,0.9971,409683.1704503504,378
1580468400,0.997,1.0,0.997,0.9978,455726.7459235605,269
1580472000,0.9978,0.9985,0.9977,0.9984,129146.27121395,210
1580475600,0.9985,0.9985,0.9977,0.9979,94258.04231477,152
1580479200,0.9979,0.9985,0.9977,0.9979,44147.6008732,143
1580482800,0.998,1.0004,0.9977,0.9978,149213.19992388,216
1580486400,0.9982,0.9986,0.9978,0.9978,56062.54664479,197
1580490000,0.9978,0.9981,0.9977,0.9981,89830.8777158,104
1580493600,0.9978,0.9984,0.9976,0.998,33609.73537097,63
1580497200,0.998,0.9984,0.9979,0.9983,105565.86219294,72
1580500800,0.9983,0.9984,0.9978,0.9978,29250.92763848,98
1580504400,0.9978,0.9987,0.9977,0.9985,40884.63390506,100
1580508000,0.9985,0.9988,0.998,0.9983,61780.16845586,135
1580511600,0.9983,0.9987,0.9982,0.9983,14658.09782897,37
1580515200,0.9983,0.9987,0.9983,0.9987,3427.24815618,15
1580518800,0.9988,0.999,0.9985,0.9986,46586.61423153,60
1580522400,0.9986,0.999,0.9983,0.9987,22397.6771239,42
1580526000,0.9984,0.999,0.9984,0.9988,14709.39946701,35
1580529600,0.9985,0.9989,0.9985,0.9988,7815.58984242,31
1580533200,0.9988,0.9991,0.9987,0.9991,9705.36931765,21
1580536800,0.9992,0.9992,0.9989,0.9989,2003.19398102,18
1580540400,0.9992,0.9993,0.9989,0.9993,48149.74089179,39
1580544000,0.9991,0.9994,0.9987,0.9989,34198.52190363,88
1580547600,0.9989,0.9993,0.9988,0.9988,24415.12476051,112
1580551200,0.9988,0.9995,0.9988,0.9993,42852.45672309,62
1580554800,0.9995,0.9996,0.9983,0.999,139484.33400499,189
1580558400,0.999,0.9991,0.9986,0.999,46141.36423253,21
1580562000,0.9991,0.9991,0.9984,0.9985,13003.03826797,58
1580565600,0.9985,0.999,0.9984,0.9984,1150.51718736,13
1580569200,0.9984,0.999,0.9983,0.999,15165.34602804,33
1580572800,0.9987,0.999,0.9983,0.9987,16762.72421378,49
1580576400,0.9987,0.9989,0.9983,0.9988,17313.68902967,42
1580580000,0.9989,0.9992,0.9984,0.9986,32089.12832992,73
1580583600,0.9986,0.999,0.9985,0.9985,16993.22371197,33
1580587200,0.9985,0.999,0.9982,0.9983,73170.38517117,82
1580590800,0.9982,0.9989,0.9982,0.9987,12345.46480377,51
1580594400,0.9983,0.999,0.9982,0.9982,31411.53876973,84
1580598000,0.9982,0.999,0.9982,0.999,11207.46737503,53
1580601600,0.9986,0.9991,0.9984,0.9987,37803.21746983,138
1580605200,0.9987,0.999,0.9983,0.999,12523.59010726,89
1580608800,0.999,0.999,0.9982,0.9988,64881.36953954,123
1580612400,0.9988,0.9988,0.9981,0.9985,14791.41455173,77
1580616000,0.9985,0.9987,0.9979,0.9987,41833.58719459,127
1580619600,0.9986,0.9987,0.9981,0.9986,12265.50829749,67
1580623200,0.9983,0.999,0.9981,0.9986,27668.36939333,52
1580626800,0.9987,0.9993,0.9987,0.9988,14897.20487423,46
1580630400,0.9991,0.9997,0.999,0.9991,97104.8061936999,176
1580634000,0.9991,0.9994,0.998,0.9988,332420.4295608398,249
1580637600,0.9988,0.9994,0.9984,0.9994,59546.06260884,175
1580641200,0.9989,0.9994,0.9985,0.9985,40158.33307955,118
1580644800,0.9985,0.9994,0.9984,0.9991,44345.89448383,181
1580648400,0.9992,0.9996,0.999,0.9992,33394.03762087,148
1580652000,0.9992,0.9996,0.9989,0.9994,49466.91599942,162
1580655600,0.9995,0.9996,0.9992,0.9995,9684.30925815,47
1580659200,0.9996,0.9997,0.9989,0.9995,42188.58463153,112
1580662800,0.9995,0.9996,0.999,0.9995,18791.50395005,69
1580666400,0.9995,0.9997,0.9991,0.9994,31880.43304638,52
1580670000,0.9994,0.9997,0.9992,0.9997,20060.79975148,122
1580673600,0.9997,1.0,0.9994,0.9995,23718.24953129,143
1580677200,0.9995,1.0,0.9989,0.9992,54447.24056888,244
1580680800,0.9996,0.9998,0.9991,0.9995,21389.25069831,90
1580684400,0.9991,0.9996,0.9987,0.9987,24912.39068015,115
1580688000,0.9987,0.9987,0.9983,0.9983,13959.6304467,78
1580691600,0.9986,1.0,0.9983,1.0,87546.16513009,270
1580695200,1.0,1.0,0.9983,0.9988,108843.03723992,198
1580698800,0.999,0.9992,0.9987,0.9987,20411.58478755,41
1580702400,0.9986,0.9986,0.9979,0.9983,57680.17315958,58
1580706000,0.9984,0.9985,0.9979,0.9981,12110.8991799,49
1580709600,0.9981,0.9988,0.9979,0.9988,25921.8954711,69
