open-time,open,high,low,close,volume,close-time,quote-asset-volume,num-of-trades,taker-buy-base-asset-vol,taker-buy-quote-asset-vol,ignore
1580428800000,0.24376000,0.24486000,0.24214000,0.24256000,7222665.10000000,1580432399999,1759970.45439300,4498,3228756.30000000,786796.74112700,0
1580432400000,0.24251000,0.24350000,0.24122000,0.24259000,4858150.60000000,1580435999999,1177864.86110100,3531,1991329.30000000,482853.80654800,0
1580436000000,0.24259000,0.24264000,0.24001000,0.24228000,5185062.20000000,1580439599999,1251860.77217400,3842,2096780.10000000,506375.39903800,0
1580439600000,0.24235000,0.24347000,0.24166000,0.24200000,3551084.50000000,1580443199999,861749.34316200,2801,1780607.40000000,432075.24442200,0
1580443200000,0.24203000,0.24206000,0.24068000,0.24144000,4805004.40000000,1580446799999,1158503.88830300,3633,2166130.80000000,522218.91481700,0
1580446800000,0.24145000,0.24331000,0.23870000,0.24056000,8023287.90000000,1580450399999,1934896.27330200,5101,3247310.60000000,783050.31750700,0
1580450400000,0.24057000,0.24284000,0.24019000,0.24217000,5225031.00000000,1580453999999,1262937.79975500,3633,2884442.50000000,697196.49779400,0
1580454000000,0.24219000,0.24238000,0.23988000,0.24077000,3752214.80000000,1580457599999,903710.20255000,2782,1287514.80000000,310046.82627300,0
1580457600000,0.24072000,0.24126000,0.23955000,0.24086000,3341331.20000000,1580461199999,803428.82820500,2522,1661282.70000000,399499.05268200,0
1580461200000,0.24088000,0.24171000,0.24010000,0.24022000,5572210.00000000,1580464799999,1341993.21392600,4101,1953556.90000000,470467.26401400,0
1580464800000,0.24022000,0.24034000,0.23795000,0.23915000,8032780.10000000,1580468399999,1921854.21251200,5722,3560754.60000000,851875.87843900,0
1580468400000,0.23911000,0.23921000,0.23743000,0.23810000,6160039.70000000,1580471999999,1467994.98765600,3986,2282168.80000000,543813.09641700,0
1580472000000,0.23810000,0.23834000,0.23458000,0.23662000,11126727.00000000,1580475599999,2629286.20818700,6082,4002995.40000000,946271.94898500,0
