open-time,open,high,low,close,volume,trades
1580428800,0.9985,0.9986,0.9981,0.9982,1941.06561833,17
1580429700,0.9985,0.9985,0.9981,0.9985,4701.10594684,25
1580430600,0.9982,0.9986,0.9979,0.9982,26924.85626917,62
1580431500,0.9986,0.999,0.9981,0.9985,79602.53749134,100
1580432400,0.9985,0.999,0.9981,0.9984,64682.10470512,46
1580433300,0.9983,0.9986,0.9982,0.9982,5394.18331808,20
1580434200,0.9984,0.9986,0.9981,0.9986,2974.66921054,19
1580435100,0.9986,0.9986,0.9982,0.9986,8636.0041359,14
1580436000,0.9984,0.999,0.9984,0.9985,15331.84824753,40
1580436900,0.9985,0.9989,0.9983,0.9985,15237.96595956,29
1580437800,0.9985,0.9985,0.9983,0.9984,4821.36888915,8
1580438700,0.9983,0.9984,0.9981,0.9982,6217.16277444,14
1580439600,0.9982,0.9982,0.9981,0.9981,5601.72591012,22
1580440500,0.9981,0.9986,0.9981,0.9981,3399.76164579,16
1580441400,0.998,0.9985,0.9979,0.9979,9866.18060727,33
1580442300,0.9979,0.9982,0.9979,0.9979,1066.30103304,8
1580443200,0.9979,0.9982,0.9974,0.9977,35277.04022543,65
1580444100,0.9974,0.9978,0.9973,0.9973,7766.42579627,27
1580445000,0.9974,0.9978,0.9973,0.9973,13313.52546476,31
1580445900,0.9974,0.9978,0.9974,0.9976,3285.88683238,11
1580446800,0.9978,0.998,0.9977,0.998,2922.28682184,12
1580447700,0.9976,0.998,0.9976,0.9977,2366.04965407,15
1580448600,0.9981,0.9981,0.9979,0.9979,6072.82778269,37
1580449500,0.9979,0.9983,0.9977,0.9977,14374.67922839,45
1580450400,0.9978,0.9981,0.9973,0.9973,33955.62966886,96
1580451300,0.9974,0.9977,0.9974,0.9977,13502.45461002,26
1580452200,0.9977,0.9978,0.9977,0.9978,1919.52295115,11
1580453100,0.9978,0.998,0.9978,0.998,4175.76429135,10
1580454000,0.9979,0.998,0.9979,0.9979,3673.08779888,10
1580454900,0.9979,0.998,0.9977,0.9977,50557.02475549,12
1580455800,0.9979,0.998,0.9977,0.9977,3314.08558901,12
1580456700,0.9977,0.9977,0.9972,0.9972,13077.11894955,33
1580457600,0.9973,0.9976,0.9971,0.9973,8590.690771,27
1580458500,0.9972,0.9977,0.9972,0.9972,11235.78069671,32
1580459400,0.9976,0.9976,0.9971,0.9971,11719.53025239,26
1580460300,0.9971,0.9979,0.9971,0.9979,21091.84968914,31
1580461200,0.9979,0.9979,0.9974,0.9974,28673.41753487,21
1580462100,0.9976,0.9976,0.9974,0.9974,2516.39145437,11
1580463000,0.9974,0.9974,0.9973,0.9973,2556.47009101,13
1580463900,0.9974,0.9974,0.9972,0.9972,17717.00112886,17
1580464800,0.9971,0.9975,0.9971,0.9975,7300.97545193,18
1580465700,0.9972,0.9977,0.9972,0.9972,7261.65774623,23
1580466600,0.9972,0.9977,0.9972,0.9973,3956.98219529,11
1580467500,0.9973,0.9996,0.9971,0.9971,391163.5550569004,326
1580468400,0.997,0.9975,0.997,0.9974,3231.42587777,19
1580469300,0.9974,0.9976,0.9971,0.9975,6533.39151294,26
1580470200,0.9976,0.9977,0.9975,0.9975,26487.94306034,28
1580471100,0.9975,1.0,0.9975,0.9978,419473.9854725104,196
1580472000,0.9978,0.9983,0.9978,0.9979,35304.98841627,54
1580472900,0.9982,0.9982,0.9977,0.9977,29439.11618771,46
1580473800,0.9981,0.9981,0.9977,0.9981,42329.36614566,58
1580474700,0.9979,0.9985,0.9978,0.9984,22072.80046431,52
1580475600,0.9985,0.9985,0.998,0.9984,4618.69960343,22
1580476500,0.9984,0.9985,0.9981,0.9985,28421.25068455,52
1580477400,0.9985,0.9985,0.9977,0.9977,54134.19449413,30
1580478300,0.9978,0.9984,0.9977,0.9979,7083.89753266,48
